Column 1,Column 2,Column 3
OCONEE COUNTY HIGH SCHOOL,97,"2721 HOG MOUNTAIN RD WATKINSVILLE GA, 30677"
OCONEE COUNTY MIDDLE SCHOOL,99,"1101 MARS HILL RD WATKINSVILLE GA, 30677"
OCONEE COUNTY PRIMARY SCHOOL,100,"2290 HOG MOUNTAIN RD WATKINSVILLE GA, 30677"
OCONEE COUNTY SENIOR CENTER,93,"3500 HOG MOUNTAIN ROAD WATKINSVILLE GA, 30677"
OCONEE ELEMENTARY SCHOOL,,"2230 HOG MOUNTAIN RD WATKINSVILLE GA, 30677"
Papa John's Pizza  # 1630,Follow-Up,"2061 EXPERIMENT STATION RD #102                WATKINSVILLE GA, 30677"
PIZZA HUT # 026373,,"1720 EPPS BRIDGE ROAD SUITE 109 ATHENS GA, 30606"
POUR BISTRO WATKINSVILLE LLC D.B.A. PUB ON MAIN,,"22 N. MAIN STREET BUILDING A WATKINSVILLE GA, 30677"
PRINCE AVENUE CHRISTIAN SCHOOL,98,"2201 RUTH JACKSON ROAD BOGART GA, 30622"
RACHEL'S SOUTHERN STYLE  RESTAURANT,96,"1021 JAMETOWN BLVD. STE 201 WATKINSVILLE GA, 30677"
ROCKY BRANCH ELEM SCHOOL,99,"5100 HOG MOUNTAIN RD WATKINSVILLE GA, 30677"
"ROYAL QUEEN, INC. D/B/A MARCO'S PIZZA",99,"1021 JAMESTOWN BLVD. # 203 WATKINSVILLE GA, 30677"
SPRINGHILL SUITES BY MARRIOTT,,"3500 DANIELLS BRIDGE ROAD ATHENS GA, 30606"
ST. MARY'S HIGHLAND HILLS,92,"1660 JENNINGS MILL RD WATKINSVILLE GA, 30677"
ST. MARY'S HOSPICE HOUSE,98,"1660 JENNINGS MILL ROAD WATKINSVILLE GA, 30677"
STARBUCKS COFFEE # 11257,93,"1761 EPPS BRIDGE ROAD ATHENS GA, 30606"
SUBWAY,,"1911 EPPS BRIDGE ROAD ATHENS GA, 30606"
SUBWAY,,"2251 HOG MOUNTAIN ROAD # 900 WATKINSVILLE GA, 30677"
SUNCATCHER CAFE',99,"42 GREENSBORO HWY. UNIT B WATKINSVILLE GA, 30677"
TACO BELL,91,"2036 OCONEE CONNECTOR ATHENS GA, 30606"
TAQUERIA LA PARRILLA,91,"1431 CAPITAL AVENUE UNIT 101 WATKINSVILLE GA, 30677"
Taqueria Tsunami,93,"1791 Oconee Connector Suite 755 Athens GA, 30606"
TERIYAKI 101,,"1805 EPPS BRIDGE PKWY STE 103 ATHENS GA, 30606"
TEXAS ROADHOUSE,95,"1021 DOWDY ROAD ATHENS GA, 30606"
THE COFFEE BAR - OCONEE,95,"1201 BISHOP FARMS PKWY  WATKINSVILLE GA, 30677"
The Traveling Hobo Cafe,91,"20-B Greensboro Highway Watkinsville GA GA, 30677"
THRIVE ASSISTED LIVING AND MEMORY CARE,90,"2040 RESURGENCE DRIVE WATKINSVILLE GA, 30677"
UNIVERSITY 16 CINEMAS,96,"1793 OCONEE CONNECTOR ATHENS GA, 30606"
VEND ATHENS INC. DBA VEND FOOD SERVICES,92,"1120 VEND DRIVE WATKINSVILLE GA, 30677"
WAFFLE HOUSE UNIT # 1189,91,"1710 EPPS BRIDGE RD ATHENS GA, 30606"
WAFFLE HOUSE UNIT # 1662,95,"8000 US HWY 441 MACON HWY ATHENS GA, 30606"
"WASHINGTON FARMS, INC.",91,"5671 HOG MOUNTAIN ROAD BOGART GA, 30622"
WENDY'S,100,"1011 JORDAN RD ATHENS GA, 30606"
WOK'S UP,,"1791 OCONEE CONN. STE # 470 ATHENS GA, 30606"
YOUR PIE,96,"1430 Capitol Ave. Watkinsville GA, 30677"
ZAXBY'S,,"1800 EPPS BRIDGE PARKWAY ATHENS GA, 30606"
Zaxbys,94,"1013 Park Place Drive Watkinsville GA, 30677"
