Column 1,Column 2,Column 3
Little Caesars of Monroe,94,"1982 West Spring Street Monroe GA, 30655"
LITTLE CAESARS PIZZA-LOGANVILLE,99,"4325 ATLANTA HWY SUITE 8 LOGANVILLE GA, 30052"
Little Italy Pizza,95,"105 N. Broad Street Monroe GA, 30655"
LOGANVILLE ELEMENTARY SCHOOL,99,"4889 BAY CREEK CHURCH ROAD LOGANVILLE GA, 30052"
LOGANVILLE HIGH SCHOOL,99,"3305 HWY 78 LOGANVILLE GA, 30052"
Loganville Middle School,100,"Bay Creek Church Rd. Loganville GA, 30052"
Loganville Pizza Wings -n- Things,"81
Follow-Up","1004 Karlee Blvd Suite 6 Loganville GA, 30052"
LOGANVILLE SENIOR CIT. CTR.,98,"603 TOM BREWER RD. LOGANVILLE GA, 30052"
LONGHORN STEAKHOUSE,95,"185 MARTIN LUTHER KING JR. BLVD. MONROE GA, 30655"
LOS 3 AMIGOS,95,"776 WEST SPRING STREET MONROE GA, 30655"
Manor House of Social Circle LLC,99,"621 N. Cherokee Road Social Circle GA, 30025"
Marco's Pizza,95,"4743 Atlanta Hwy, Suite 200 Loganville GA, 30052"
McDONALD'S LOGANVILLE,,"4638 HWY 78 LOGANVILLE GA, 30052"
MCDONALD'S-MONROE,92,"2025 W.SPRING ST. MONROE GA, 30655"
Milo's Restaurant & Bistro,92,"412 South Broad Street Monroe GA, 30655"
Miss Dot's Diner & Sweet Shop,99,"307 Main Street Loganville GA, 30052"
Moe's Southwest Grill Loganville,,"4211 Atlanta Highway, Suite 100 Loganville GA, 30052"
Moe's Southwest Grill Monroe,,"1998 W. Spring Street Monroe GA, 30655"
MONROE AREA HIGH SCHOOL,98,"1241 Double Springs Church Road Monroe GA, 30655"
MONROE ELEMENTARY SCHOOL,100,"140 DILLARD DRIVE MONROE GA, 30656"
MONROE GOLF AND COUNTRY CLUB,,"1212 ALCOVY ST. MONROE GA, 30655"
ORIENTAL GARDEN#3,,"2120 West Spring Street, Suite 700 Monroe GA, 30655"
Panera Bread Bakery Cafe #3800,94,"1223 West Spring Street Monroe GA, 30655"
PAPA JOHN'S #2722,90,"1125 WEST SPRING STREET MONROE GA, 30655"
PAPA JOHN'S PIZZA-WALNUT GROVE,92,"4915 Hwy 138, Suite A Walnut Grove GA, 30052"
PARK PLACE NURSING FACILITY,,"1865 BOLD SPRINGS RD. MONROE GA, 30656"
Philly Connection,"94
Follow-Up","4325 Atlanta Hwy, Ste 16 Loganville GA, 30052"
Piedmont Hospital,,"2151 West Spring Street Monroe GA, 30655"
PIZZA HUT #4791 LOGANVILLE,,"4630 HWY 78 LOGANVILLE GA, 30052"
PIZZA HUT (WALNUT GROVE),Follow-Up,"2470 LEONE AVE, SUITE A LOGANVILLE GA, 30052"
PIZZA HUT - MONROE,,"1117 WEST SPRING STREET MONROE GA, 30655"
POPEYES CHICKEN & BISCUITS,,"955 East Spring St. Monroe GA, 30655"
POT LUCK,,"115 N. MIDLAND AVE. MONROE GA, 30656"
Ridgeview Institute-Monroe,97,"709 Breedlove Drive Monroe GA, 30655"
Rising Donuts,97,"4763 Atlanta Hwy Suite 320 Loganville GA, 30052"
RJ's Soul Food & More,91,"232-C N. Hammond Drive Monroe GA, 30655"
Rocky's Pizzeria & Grill,90,"1700 Bold Springs Road Monroe GA, 30656"
Sacred Grounds Corner Cafe,96,"109 S. Cherokee Road Social Circle GA, 30025"
SAKE EXPRESS,97,"798 W. SPRING STREET MONROE GA, 30655"
Salamandra's Kitchen,"89
Follow-Up","50 Great Oaks Dr Suite 14 Monroe GA, 30655"
Sara's Place,,"655 Unisia Drive Monroe GA, 30655"
Scoops,96,"140 North Broad Street Monroe GA, 30655"
Shane's Rib Shack Loganville,,"4743 Atlanta Hwy, Suite 150 Loganville GA, 30052"
Shane's Rib Shack Monroe,92,"1978 West Spring Street Monroe GA, 30655"
SHARON ELEMENTARY SCHOOL,,"2700 White Road Loganville GA, 30052"
Shifter's,94,"1104-A S. Madison Ave Monroe GA, 30655"
Sisters Family Restaurant,,"6550 GA Hwy 20 Loganville GA, 30052"
Smitty's Wing Shop,94,"1133 East Church Street Monroe GA, 30655"
Smoothie King,91,"4799 Atlanta Hwy Suite 540 Loganville GA, 30052"
SOCIAL CIRCLE ELEMENTARY,97,"240-A WEST HIGHTOWER TRAIL SOCIAL CIRCLE GA, 30025"
SOCIAL CIRCLE MIDDLE,100,"154 ALCOVA DRIVE SOCIAL CIRCLE GA, 30025"
SOCIAL CIRCLE PRIMARY,99,"439 A.P. HENDERSON DRIVE SOCIAL CIRCLE GA, 30025"
SOCIAL CIRCLE SENIOR CIT. CTR.,,"138 E. HIGHTOWER TRAIL SOCIAL CIRCLE GA, 30025"
"Social Circle Wing Facory, Inc.",93,"1299-F North Cherokee Road Social Cirlce GA, 30025"
Southern Plantation,94,"580 Tommy Lee Fuller Drive Loganville GA, 30052"
Sparrow Hill Inn at the Van Horne Manor House,94,"410 E. Church Street Monroe GA, 30655"
STARBUCKS-KROGER,94,"4753 ATLANTA HWY LOGANVILLE GA, 30052"
STARBUCKS-LOGANVILLE,100,"4270 Atlanta Hwy, Suite 101 Loganville GA, 30052"
SUBWAY OF MONROE,96,"1025 W SPRING ST MONROE GA, 30655"
SUBWAY OF WALMART,92,"2050 W Spring St Monroe GA, 30655"
Subway Social Circle,98,"1299 North Cherokee Road-Ste D Social Circle GA, 30025"
Subway-Walnut Grove,,"1841 Walnut Avenue, Suite 200-B Covington GA, 30014"
Sussie's Food To Go,94,"535 N Broad Street Monroe GA, 30655"
T & J's Frozen Yogurt DBA Night Owl,97,"4743 Atlanta Hwy, Suite 180 Loganville GA, 30052"
Taco Bell #33411,97,"4335 Atlanta Highway Loganville GA, 30052"
Taco Bell Monroe,92,"1301 West Spring Street Monroe GA, 30655"
The Center for Advanced Rehab @ Social Circle,95,"671 N. CHEROKEE RD. SOCIAL CIRCLE GA, 30025"
The Cotton Cafe,90,"136 North Broad Street Monroe GA, 30655"
The Grill at Providence Club,92,"656 Providence Club Drive Monroe GA, 30656"
TOKYO 2 JAPANESE RESTAURANT,93,"1946 WEST SPRING STREET MONROE GA, 30655"
Vittles Diner Inc,,"1480 Hwy 78 Monroe GA, 30655"
WAFFLE HOUSE #1769 -HWY 78 MONROE,,"1400 US Highway 78 Monroe GA, 30655"
WAFFLE HOUSE-LOGANVILLE,99,"4752 HWY. 78 LOGANVILLE GA, 30052"
WAFFLE HOUSE-N. BROAD STREET,93,"1245 N. Broad Street MONROE GA, 30656"
WAFFLE HOUSE-W. SPRING STREET,,"2045 W. SPRING STREET MONROE GA, 30655"
WAFFLE HOUSE-WALNUT GROVE,,"1640 GA HWY 138 LOGANVILLE GA, 30052"
WALKER PARK ELEMENTARY,100,"CARL DAVIS ROAD MONROE GA, 30656"
WALNUT GROVE ELEMENTARY,100,"460 HWY 81 COVINGTON GA, 30014"
WALNUT GROVE HIGH SCHOOL,100,"4863 Guthrie Cemetary Road Walnut Grove GA, 30014"
WALTON ATHLETIC 24/SMOOTHIE CAFE',97,"1205 WEST SPRING STREET MONROE GA, 30655"
WALTON COUNTY HEAD START,94,"832 Georgia Highway 11 South Monroe GA, 30655"
WALTON COUNTY JAIL,,"1425 S. MADISON AVE. MONROE GA, 30656"
WALTON COUNTY SENIOR CITIZENS,98,"1400 S. Madison Avenue Monroe GA, 30655"
Wendy's Old Fashioned Hamburgers,91,"4331 Hwy 78 Loganville GA, 30052"
Wendy's,93,"1117 W. Spring Street Monroe GA, 30655"
WILD WEST FAMILY RESTAURANT,,"137 South Broad Street Monroe GA, 30655"
Willy's Mex Mex Grill,90,"123-A South Cherokee Road Social Circle Road GA, 30025"
YOUTH ELEMENTARY SCHOOL,98,"4009 CENTERHILL CHURCH ROAD LOGANVILLE GA, 30052"
YOUTH MIDDLE SCHOOL,100,"HWY 81 LOGANVILLE GA, 30052"
ZAXBY'S-LOGANVILLE,92,"4333 Atlanta Highway Loganville GA, 30052"
ZAXBY'S-MONROE,,"195 MLK JR. BLVD. MONROE GA, 30655"
